slug,name,title,email,phone,bioUrl,contactUrl,headshotUrl,xUrl,instagramUrl,linkedinUrl,isHeadCoach,reviewStatus
virginia-commonwealth-university,Ryan Terrill,Assistant Coach,,,https://vcuathletics.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
virginia-commonwealth-university,Andrew Llewellyn,Assistant Coach,,,https://vcuathletics.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
virginia-commonwealth-university,JoJo Howie,Pitching Coach,,,https://vcuathletics.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
arizona,UACoachHale Trip Couch,Assistant Coach,,,https://arizonawildcats.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
arizona,Toby DeMello,Assistant Coach,,,https://arizonawildcats.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
arizona,TobyDemello Sean Kenny,Assistant Coach,,,https://arizonawildcats.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
arizona,Analyst Garen Caulfield Graduate,Assistant Coach,,,https://arizonawildcats.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
arizona-state-university,Coaching Willie Bloomquist,Head Coach,,,https://thesundevils.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
arizona-state-university,Pitching Coach Sam Peraza,Assistant Coach,,,https://thesundevils.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
arizona-state-university,Recruiting Coordinator Jason Ellison,Assistant Coach,,,https://thesundevils.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
arizona-state-university,Analytics Ted Henson,Assistant Coach,,,https://thesundevils.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
arizona-state-university,Head Coach Jeremy Accardo,Pitching Coach,,,https://thesundevils.com/sports/baseball/coaches,,,,,,false,NEEDS_REVIEW
byu,,,,,https://byucougars.com/sports/baseball,,,,,,false,NO_CANDIDATES_FOUND
baylor-university,Alma Mater Mitch Thompson,Head Coach,,,https://baylorbears.com/sports/baseball/coaches,,,,,,true,NEEDS_REVIEW
